Date;Item;SKU_Category;Concatenate_ID;Sales_Percent;Sales_Amount;Cost;Gross_Profit;Commission_Cost;Retail_Net_Earnings;Profit_Ratio;Net_Earnings;Cost_to_Profit_Ratio;Cost_Ratio;Profit_Contribution_Ratio;Company;Category;Agent
03/08/2022;Phone Bill;WIRLSVS;SA-202280030-WIRLSVS;0.0009;56;47;9;4;5;0.1576;5;5.3456;0.8424;0.0002;UltraMobile;Wireless Service;STKEVON
03/08/2022;Phone Bill;WIRLSVS;SA-202280031-WIRLSVS;0.002;124;114;9;4;6;0.0747;6;12.3261;0.9205;0.0002;UltraMobile;Wireless Service;STKEVON
03/08/2022;Phone Bill;WIRLSVS;SA-202280032-WIRLSVS;0.0015;93;80;13;5;8;0.1394;8;6.1759;0.8606;0.0003;LycaMobile;Wireless Service;STKEVON
04/08/2022;Phone Screen Repair Samsung;DVRP;SA-202280033-DVRP;0.0041;260;180;80;32;48;0.3077;48;2.25;0.6923;0.0021;Samsung;Device Repair;STKEVON
04/08/2022;iPad Screen Repair;DVRP;SA-202280034-DVRP;0.0011;70;20;50;20;30;0.7143;30;0.4;0.2857;0.0013;Apple;Device Repair;STKEVON
04/08/2022;iPhone 7 Plus;RFBPHN;SA-202280035-RFBPHN;0.0041;260;140;120;48;72;0.4615;72;1.1667;0.5385;0.0032;Apple;Refurbished Phone or Device;STKEVON
04/08/2022;TV Box;TVBX;SA-202280036-TVBX;0.0035;220;140;80;32;48;0.3636;48;1.75;0.6364;0.0021;Unblock;TV Box;STKEVON
04/08/2022;Repair Ipad ;DVRP;SA-202280037-DVRP;0.0007;45;20;25;10;15;0.5556;15;0.8;0.4444;0.0007;Apple;Device Repair;STKWAN
04/08/2022;iPhone 12;RFBPHN;SA-202280038-RFBPHN;0.0064;400;300;100;40;60;0.25;60;3;0.75;0.0027;Apple;Refurbished Phone or Device;STKEVON
04/08/2022;Samsung;RFBPHN;SA-202280039-RFBPHN;0.0061;380;200;180;72;108;0.4737;108;1.1111;0.5263;0.0048;Samsung;Refurbished Phone or Device;STKEVON
04/08/2022;Simple Phone Bill Payment;WIRLSVS;SA-202280040-WIRLSVS;0.0005;32;27;5;2;3;0.1422;3;6.033;0.8578;0.0001;SimpleMobile;Wireless Service;STKEVON
04/08/2022;7P Battery;DVRP;SA-202280041-DVRP;0.0002;13;10;3;1;2;0.2308;2;3.3333;0.7692;0.0001;InCell ;Device Repair;STKWAN
04/08/2022;SimpleMobile Phone Bill 1 month 5 GB;WIRLSVS;SA-202280042-WIRLSVS;0.0005;32;27;5;2;3;0.1422;3;6.033;0.8578;0.0001;SimpleMobile;Wireless Service;STKEVON
04/08/2022;UltraMobile 1 year 2 GB;WIRLSVS;SA-202280043-WIRLSVS;0.0031;196;167;30;12;18;0.1505;18;5.6441;0.8495;0.0008;UltraMobile;Wireless Service;STKEVON
04/08/2022;UltraMobile 1 year 6 GB ;WIRLSVS;SA-202280044-WIRLSVS;0.0053;330;278;53;21;32;0.1591;32;5.2857;0.8409;0.0014;UltraMobile;Wireless Service;STKEVON
04/08/2022;LycaMobile 1 month Unlimited Plan Refill;WIRLSVS;SA-202280045-WIRLSVS;0.0008;51;47;4;2;3;0.0859;3;10.6438;0.9141;0.0001;LycaMobile;Wireless Service;STKEVON
04/08/2022;LycaMobile 1 month 2 GB ;WIRLSVS;SA-202280046-WIRLSVS;0.0003;21;18;3;1;2;0.161;2;5.213;0.839;0.0001;LycaMobile;Wireless Service;STKEVON
04/08/2022;Iphone 13 Pro Max 256GB Gold;NWPHN;SA-202280047-NWPHN;0.0213;1339;1204;135;54;81;0.1008;81;8.9185;0.8992;0.0036;Apple;Brand New Phone;STKEVON
05/08/2022;iphone 6 Plus;RFBPHN;SA-202280048-RFBPHN;0.0045;280;160;120;48;72;0.4286;72;1.3333;0.5714;0.0032;Apple;Refurbished Phone or Device;STKEVON
05/08/2022;Protective Glass;TXTA;SA-202280049-TXTA;0.0005;30;3;27;11;16;0.9;16;0.1111;0.1;0.0007;Castify;Tech Accessories;STKEVON
05/08/2022;Phone Bill Payment;WIRLSVS;SA-202280050-WIRLSVS;0.0008;50;43;7;3;4;0.1352;4;6.3964;0.8648;0.0002;LycaMobile;Wireless Service;STKEVON
05/08/2022;iWatch;TXTA;SA-202280051-TXTA;0.0124;780;700;80;32;48;0.1026;48;8.75;0.8974;0.0021;Apple;Tech Accessories;STKEVON
05/08/2022;Phone Case and Screen;TXTA;SA-202280052-TXTA;0.0003;20;4;16;6;10;0.8;10;0.25;0.2;0.0004;Apple;Tech Accessories;STKEVON
05/08/2022;Phone Charger;TXTA;SA-202280053-TXTA;0.0004;25;21;4;2;2;0.16;2;5.25;0.84;0.0001;Apple;Tech Accessories;STKEVON
05/08/2022;Phone Bill Payment;WIRLSVS;SA-202280054-WIRLSVS;0.0031;196;180;16;6;10;0.0816;10;11.25;0.9184;0.0004;UltraMobile;Wireless Service;STKEVON
05/08/2022;Samsung S21 Ultra Screen Repair;DVRP;SA-202280055-DVRP;0.0046;290;180;110;44;66;0.3793;66;1.6364;0.6207;0.0029;Samsung;Device Repair;STKWAN
05/08/2022;Samsung Screen Repair;DVRP;SA-202280056-DVRP;0.0026;160;90;70;28;42;0.4375;42;1.2857;0.5625;0.0019;Samsung;Device Repair;STKWAN
05/08/2022;Ipad Machine Reboot;DVRP;SA-202280057-DVRP;0.0003;20;0;20;8;12;1;12;0;0;0.0005;Apple;Device Repair;STKWAN
06/08/2022;Lyca Phone Bill;WIRLSVS;SA-202280058-WIRLSVS;0.0016;100;75;25;10;15;0.2548;15;2.9246;0.7452;0.0007;LycaMobile;Wireless Service;STKEVON
06/08/2022;Lyca Phone Bill;WIRLSVS;SA-202280059-WIRLSVS;0.0012;78;70;8;3;5;0.1026;5;8.75;0.8974;0.0002;LycaMobile;Wireless Service;STKEVON
06/08/2022;Phone Car Holder;TXTA;SA-202280060-TXTA;0.0002;10;6;4;2;2;0.4;2;1.5;0.6;0.0001;Castify;Tech Accessories;STKEVON
06/08/2022;Lyca Phone Bill ;WIRLSVS;SA-202280061-WIRLSVS;0.001;63;48;15;6;9;0.2457;9;3.0698;0.7543;0.0004;LycaMobile;Wireless Service;STKEVON
06/08/2022;Reboot Phone Service ;SFSV;SA-202280062-SFSV;0.0002;10;0;10;4;6;1;6;0;0;0.0003;Apple;Software Service;STKEVON
06/08/2022;Ultra Phone Bill $132;WIRLSVS;SA-202280063-WIRLSVS;0.0021;132;105;27;11;16;0.2045;16;3.8889;0.7955;0.0007;UltraMobile;Wireless Service;STKEVON
06/08/2022;iPhone Case Xs Max;TXTA;SA-202280064-TXTA;0.0002;10;3;7;3;4;0.7;4;0.4286;0.3;0.0002;Castify;Tech Accessories;STKEVON
06/08/2022;Lyca Sim Activition;WIRLSVS;SA-202280065-WIRLSVS;0.0005;33;30;3;1;2;0.1055;2;8.4828;0.8945;0.0001;LycaMobile;Wireless Service;STKEVON
06/08/2022;iPhone Case Xs Max;TXTA;SA-202280066-TXTA;0.0002;10;3;7;3;4;0.7;4;0.4286;0.3;0.0002;Castify;Tech Accessories;STKEVON
06/08/2022;Ultra Flex ;WIRLSVS;SA-202280067-WIRLSVS;0.0009;55;47;8;3;5;0.1371;5;6.2944;0.8629;0.0002;UltraMobile;Wireless Service;STKEVON
06/08/2022;Ultra Flex ;WIRLSVS;SA-202280068-WIRLSVS;0.0009;55;47;8;3;5;0.1371;5;6.2944;0.8629;0.0002;UltraMobile;Wireless Service;STKEVON
06/08/2022;Screen Repair;DVRP;SA-202280069-DVRP;0.0011;70;40;30;12;18;0.4286;18;1.3333;0.5714;0.0008;InCell ;Device Repair;STKEVON
06/08/2022;Phone Case;TXTA;SA-202280070-TXTA;0.0002;15;3;12;5;7;0.8;7;0.25;0.2;0.0003;Castify;Tech Accessories;STKEVON
06/08/2022;Protective Glass;TXTA;SA-202280071-TXTA;0.0003;20;4;16;6;10;0.8;10;0.25;0.2;0.0004;Castify;Tech Accessories;STKEVON
06/08/2022;Lyca Phone Bill;WIRLSVS;SA-202280072-WIRLSVS;0.0007;42;38;4;2;3;0.1043;3;8.589;0.8957;0.0001;LycaMobile;Wireless Service;STKEVON
06/08/2022;Ultra;WIRLSVS;SA-202280073-WIRLSVS;0.0007;45;18;27;11;16;0.5973;16;0.6741;0.4027;0.0007;UltraMobile;Wireless Service;STKEVON
06/08/2022;13 Pro Camera Protector;TXTA;SA-202280074-TXTA;0.0002;15;3;12;5;7;0.8;7;0.25;0.2;0.0003;Castify;Tech Accessories;STKEVON
07/08/2022;Lyca 3 month phone bill;WIRLSVS;SA-202280075-WIRLSVS;0.0016;100;75;25;10;15;0.2548;15;2.9246;0.7452;0.0007;LycaMobile;Wireless Service;STKEVON
07/08/2022;Phone Case;TXTA;SA-202280076-TXTA;0.0002;10;3;7;3;4;0.7;4;0.4286;0.3;0.0002;Castify;Tech Accessories;STKEVON
07/08/2022;Lyca 3 month phone bill;WIRLSVS;SA-202280077-WIRLSVS;0.0016;100;75;25;10;15;0.2548;15;2.9246;0.7452;0.0007;LycaMobile;Wireless Service;STKEVON
07/08/2022;Phone Protective Glass;TXTA;SA-202280078-TXTA;0.0002;10;2;8;3;5;0.8;5;0.25;0.2;0.0002;Castify;Tech Accessories;STKEVON
07/08/2022;Ultra Mobile Sim Activition;WIRLSVS;SA-202280079-WIRLSVS;0.0013;79;40;39;16;23;0.4942;23;1.0236;0.5058;0.001;UltraMobile;Wireless Service;STKEVON
07/08/2022;Apple ID registration;SFSV;SA-202280080-SFSV;0.0002;10;0;10;4;6;1;6;0;0;0.0003;EY Cell;Software Service;STKEVON
07/08/2022;Phone Case;TXTA;SA-202280081-TXTA;0.0001;6;3;3;1;2;0.5;2;1;0.5;0.0001;Castify;Tech Accessories;STKEVON
07/08/2022;Lyca Phone Bill;WIRLSVS;SA-202280082-WIRLSVS;0.0016;100;75;25;10;15;0.2548;15;2.9246;0.7452;0.0007;LycaMobile;Wireless Service;STKEVON
07/08/2022;13 Pro Max Phone Case;TXTA;SA-202280083-TXTA;0.0002;10;3;7;3;4;0.7;4;0.4286;0.3;0.0002;Castify;Tech Accessories;STKEVON
07/08/2022;ULTRA 154     3 month ;WIRLSVS;SA-202280084-WIRLSVS;0.0025;154;107;47;19;28;0.3072;28;2.2556;0.6928;0.0013;UltraMobile;Wireless Service;STKEVON
07/08/2022;Lyca Phone Bill;WIRLSVS;SA-202280085-WIRLSVS;0.0012;75;50;25;10;15;0.3397;15;1.9435;0.6603;0.0007;LycaMobile;Wireless Service;STKEVON
07/08/2022;Lyca Phone Bill;WIRLSVS;SA-202280086-WIRLSVS;0.0005;32;28;4;2;3;0.1369;3;6.3059;0.8631;0.0001;LycaMobile;Wireless Service;STKEVON
07/08/2022;Lyca Phone Bill;WIRLSVS;SA-202280087-WIRLSVS;0.001;61;48;13;5;8;0.221;8;3.5252;0.779;0.0004;LycaMobile;Wireless Service;STKEVON
07/08/2022;Lyca Phone Bill;WIRLSVS;SA-202280088-WIRLSVS;0.0016;100;75;25;10;15;0.2548;15;2.9246;0.7452;0.0007;LycaMobile;Wireless Service;STKEVON
07/08/2022;iphone 6s Screen Repair ;DVRP;SA-202280089-DVRP;0.0008;50;20;30;12;18;0.6;18;0.6667;0.4;0.0008;Apple;Device Repair;STKEVON
07/08/2022;H20  Monthly Phone Bill;WIRLSVS;SA-202280090-WIRLSVS;0.0004;25;23;2;1;1;0.09;1;10.1111;0.91;0.0001;H20;Wireless Service;STKEVON
07/08/2022;phone case 13 Pro;TXTA;SA-202280091-TXTA;0.0002;10;3;7;3;4;0.7;4;0.4286;0.3;0.0002;Castify;Tech Accessories;STKEVON
07/08/2022;phone case XR;TXTA;SA-202280092-TXTA;0.0002;10;3;7;3;4;0.7;4;0.4286;0.3;0.0002;Castify;Tech Accessories;STKEVON
07/08/2022;Lyca Phone Bill Service;WIRLSVS;SA-202280093-WIRLSVS;0.0016;100;75;25;10;15;0.2548;15;2.9246;0.7452;0.0007;LycaMobile;Wireless Service;STKEVON
07/08/2022;Lyca Phone Bill Service;WIRLSVS;SA-202280094-WIRLSVS;0.0016;100;75;25;10;15;0.2548;15;2.9246;0.7452;0.0007;LycaMobile;Wireless Service;STKEVON
07/08/2022;Phone Case;TXTA;SA-202280095-TXTA;0.0002;10;3;7;3;4;0.7;4;0.4286;0.3;0.0002;Castify;Tech Accessories;STKEVON
08/08/2022;VIP Number;TXTA;SA-202280096-TXTA;0.0016;99;85;14;6;8;0.1414;8;6.0714;0.8586;0.0004;Amazon;Tech Accessories;STKEVON
08/08/2022;Phone Case Shock Resistent;TXTA;SA-202280097-TXTA;0.0002;10;3;7;3;4;0.7;4;0.4286;0.3;0.0002;Castify;Tech Accessories;STKEVON
08/08/2022;Battery Replacement Repair Service ;DVRP;SA-202280098-DVRP;0.0006;40;10;30;12;18;0.75;18;0.3333;0.25;0.0008;Apple;Device Repair;STKEVON
08/08/2022;Phone Case;TXTA;SA-202280099-TXTA;0.0001;5;2;3;1;2;0.6;2;0.6667;0.4;0.0001;Castify;Tech Accessories;STKEVON
08/08/2022;1 Phone Case and 1 Protective Glass;TXTA;SA-202280100-TXTA;0.0003;18;5;13;5;8;0.7222;8;0.3846;0.2778;0.0003;Castify;Tech Accessories;STKEVON
08/08/2022;2 Phone Case and 1 Protective Glass;TXTA;SA-202280101-TXTA;0.0004;25;8;17;7;10;0.68;10;0.4706;0.32;0.0005;Castify;Tech Accessories;STKEVON
08/08/2022;LycaMobile Phone Bill;WIRLSVS;SA-202280102-WIRLSVS;0.0016;100;75;25;10;15;0.2548;15;2.9246;0.7452;0.0007;LycaMobile;Wireless Service;STKEVON
08/08/2022;UltraMobile;WIRLSVS;SA-202280103-WIRLSVS;0.0019;121;102;19;8;11;0.157;11;5.3684;0.843;0.0005;UltraMobile;Wireless Service;STKEVON
08/08/2022;Software Download Service Fee;SFSV;SA-202280104-SFSV;0.0002;10;0;10;4;6;1;6;0;0;0.0003;Apple;Software Service;STKEVON
08/08/2022;Ultra Mobile 3 Month;WIRLSVS;SA-202280105-WIRLSVS;0.001;61;47;14;6;8;0.2266;8;3.4123;0.7734;0.0004;UltraMobile;Wireless Service;STKEVON
08/08/2022;H20  Monthly Phone Bill;WIRLSVS;SA-202280106-WIRLSVS;0.0004;22;19;3;1;2;0.1477;2;5.7692;0.8523;0.0001;H20;Wireless Service;STKEVON
08/08/2022;LycaMobile Phone Bill;WIRLSVS;SA-202280107-WIRLSVS;0.0004;22;20;2;1;1;0.0909;1;10;0.9091;0.0001;LycaMobile;Wireless Service;STKEVON
08/08/2022;LycaMobile Phone Bill;WIRLSVS;SA-202280108-WIRLSVS;0.0005;31;28;3;1;2;0.109;2;8.1716;0.891;0.0001;LycaMobile;Wireless Service;STKEVON
08/08/2022;LycaMobile Phone Bill;WIRLSVS;SA-202280109-WIRLSVS;0.0004;25;22;3;1;2;0.1352;2;6.3964;0.8648;0.0001;LycaMobile;Wireless Service;STKEVON
08/08/2022;Protective Glass;TXTA;SA-202280110-TXTA;0.0002;10;3;7;3;4;0.7;4;0.4286;0.3;0.0002;Castify;Tech Accessories;STKEVON
08/08/2022;H20 Phone Bill;WIRLSVS;SA-202280111-WIRLSVS;0.0007;42;38;5;2;3;0.1071;3;8.3333;0.8929;0.0001;H20;Wireless Service;STKEVON
08/08/2022;Ring Holder;TXTA;SA-202280112-TXTA;0;2;0;2;1;1;1;1;0;0;0.0001;Castify;Tech Accessories;STKEVON
08/08/2022;LycaMobile Phone Bill;WIRLSVS;SA-202280113-WIRLSVS;0.0012;78;50;28;11;17;0.3651;17;1.7388;0.6349;0.0008;LycaMobile;Wireless Service;STKEVON
08/08/2022;HomeX;TVBX;SA-202280114-TVBX;0.0032;200;120;80;32;48;0.4;48;1.5;0.6;0.0021;HomeX;TV Box;STKEVON
09/08/2022;2 Protective Glass and 1 Phone Case;TXTA;SA-202280115-TXTA;0.0005;28;8;20;8;12;0.7143;12;0.4;0.2857;0.0005;Castify;Tech Accessories;STKEVON
09/08/2022;Ipad Reboot Service Fee;TXTA;SA-202280116-TXTA;0.001;60;40;20;8;12;0.3333;12;2;0.6667;0.0005;Castify;Tech Accessories;STKEVON
09/08/2022;Ultra Sim Activision;WIRLSVS;SA-202280117-WIRLSVS;0.0032;200;167;34;13;20;0.1675;20;4.9701;0.8325;0.0009;UltraMobile;Wireless Service;STKEVON
09/08/2022;iphone 8 Plus repair front screen and back screen;DVRP;SA-202280118-DVRP;0.0026;160;50;110;44;66;0.6875;66;0.4545;0.3125;0.0029;InCell ;Device Repair;STKEVON
09/08/2022;iphone 13 pro max protective screen;TXTA;SA-202280119-TXTA;0.0003;20;2;18;7;11;0.9;11;0.1111;0.1;0.0005;Castify;Tech Accessories;STKEVON
09/08/2022;ipad 5 128GB ;DVRP;SA-202280120-DVRP;0.0032;200;105;95;38;57;0.475;57;1.1053;0.525;0.0025;Apple;Device Repair;STKWAN
09/08/2022;iCloud ID registration;SFSV;SA-202280121-SFSV;0.0003;20;0;20;8;12;1;12;0;0;0.0005;Apple;Software Service;STKWAN
09/08/2022;iPhone Reboot;SFSV;SA-202280122-SFSV;0.0002;10;0;10;4;6;1;6;0;0;0.0003;Apple;Software Service;STKWAN
09/08/2022;Lyca Sim Activition;WIRLSVS;SA-202280123-WIRLSVS;0.0016;100;75;25;10;15;0.2486;15;3.0225;0.7514;0.0007;LycaMobile;Wireless Service;STKEVON
09/08/2022;Protective Glass;TXTA;SA-202280124-TXTA;0.0002;10;2;8;3;5;0.8;5;0.25;0.2;0.0002;Castify;Tech Accessories;STKEVON
10/08/2022;Apple Computer Setup Service Fee;SFSV;SA-202280125-SFSV;0.0005;30;0;30;12;18;1;18;0;0;0.0008;Apple;Software Service;STKEVON
10/08/2022;Phone Charging Cable;TXTA;SA-202280126-TXTA;0.0001;8;6;2;1;1;0.25;1;3;0.75;0.0001;Castify;Tech Accessories;STKEVON
10/08/2022;Phone Bill Lyca;WIRLSVS;SA-202280127-WIRLSVS;0.0016;100;75;25;10;15;0.2486;15;3.0225;0.7514;0.0007;LycaMobile;Wireless Service;STKEVON
10/08/2022;HomeX  TV Box ;TVBX;SA-202280128-TVBX;0.0032;200;120;80;32;48;0.4;48;1.5;0.6;0.0021;HomeX;TV Box;STKEVON
10/08/2022;Screen Repair ;DVRP;SA-202280129-;0.001;60;20;40;16;24;0.6667;24;0.5;0.3333;0.0011;InCell ;Device Repair;STKEVON
10/08/2022;Phone Case and Protective Glass;TXTA;SA-202280130-TXTA;0.0004;26;5;21;8;13;0.8077;13;0.2381;0.1923;0.0006;Castify;Tech Accessories;STKEVON
11/08/2022;Phone Case;TXTA;SA-202280131-TXTA;0.0001;5;2;3;1;2;0.6;2;0.6667;0.4;0.0001;Castify;Tech Accessories;STKEVON
11/08/2022;Phone Case 6s;TXTA;SA-202280132-TXTA;0.0001;5;2;3;1;2;0.6;2;0.6667;0.4;0.0001;Castify;Tech Accessories;STKEVON
11/08/2022;UltraMobile  Phone bill;WIRLSVS;SA-202280133-WIRLSVS;0.0009;56;47;9;4;5;0.1576;5;5.3456;0.8424;0.0002;UltraMobile;Wireless Service;STKEVON
11/08/2022;UltraMobile  Phone bill;WIRLSVS;SA-202280134-WIRLSVS;0.0005;32;29;3;1;2;0.1039;2;8.6241;0.8961;0.0001;UltraMobile;Wireless Service;STKEVON
11/08/2022;Phone Case ( iphone 6s ) Clearance;TXTA;SA-202280135-TXTA;0.0001;5;2;3;1;2;0.6;2;0.6667;0.4;0.0001;Castify;Tech Accessories;STKEVON
11/08/2022;Iphone 13 Pro Max 256GB Blue;NWPHN;SA-202280136-NWPHN;0.0218;1370;1199;171;68;103;0.1248;103;7.0117;0.8752;0.0045;Apple;Brand New Phone;STKEVON
11/08/2022;Ultra Phone Bill;WIRLSVS;SA-202280137-WIRLSVS;0.0009;56;47;9;4;5;0.1576;5;5.3456;0.8424;0.0002;UltraMobile;Wireless Service;STKEVON
11/08/2022;Phone Bill ;WIRLSVS;SA-202280138-WIRLSVS;0.0006;35;31;4;2;3;0.1251;3;6.9909;0.8749;0.0001;LycaMobile;Wireless Service;STKEVON
11/08/2022;Phone Bill;WIRLSVS;SA-202280139-WIRLSVS;0.0005;30;27;3;1;2;0.0917;2;9.9091;0.9083;0.0001;LycaMobile;Wireless Service;STKEVON
11/08/2022;Phone Bill;WIRLSVS;SA-202280140-WIRLSVS;0.0004;23;21;2;1;1;0.087;1;10.5;0.913;0.0001;LycaMobile;Wireless Service;STKEVON
11/08/2022;6s Screen Repair;DVRP;SA-202280141-DVRP;0.0008;50;15;35;14;21;0.7;21;0.4286;0.3;0.0009;InCell ;Device Repair;STKEVON
11/08/2022;Phone Ring Holder;TXTA;SA-202280142-TXTA;0;2;1;1;0;1;0.5;1;1;0.5;0;Castify;Tech Accessories;STKEVON
11/08/2022;Ultra Phone Bill ;WIRLSVS;SA-202280143-WIRLSVS;0.0013;79;67;12;5;7;0.157;7;5.371;0.843;0.0003;UltraMobile;Wireless Service;STKEVON
11/08/2022;Ultra Phone Bill 3 Month ;WIRLSVS;SA-202280144-WIRLSVS;0.0015;95;83;12;5;7;0.1213;7;7.243;0.8787;0.0003;UltraMobile;Wireless Service;STKEVON
11/08/2022;Type C Cable;TXTA;SA-202280145-TXTA;0.0002;10;6;4;2;2;0.4;2;1.5;0.6;0.0001;Castify;Tech Accessories;STKEVON
12/08/2022;Lyca Phone Bill ;WIRLSVS;SA-202280146-WIRLSVS;0.0016;100;75;25;10;15;0.2486;15;3.0225;0.7514;0.0007;LycaMobile;Wireless Service;STKEVON
12/08/2022;Lyca Phone Bill ;WIRLSVS;SA-202280147-WIRLSVS;0.0016;100;75;25;10;15;0.2486;15;3.0225;0.7514;0.0007;LycaMobile;Wireless Service;STKEVON
12/08/2022;Lyca Phone Bill ;WIRLSVS;SA-202280148-WIRLSVS;0.0016;100;75;25;10;15;0.2486;15;3.0225;0.7514;0.0007;LycaMobile;Wireless Service;STKEVON
12/08/2022;Simple Phone Bill Payment;WIRLSVS;SA-202280149-WIRLSVS;0.0008;52;47;5;2;3;0.0913;3;9.9474;0.9087;0.0001;SimpleMobile;Wireless Service;STKEVON
